Estación:       TECATE,  BC
Operada por:    SMN EMAS
Longitud:       116°39'41"  Latitud: 32°34'06"  Altitud: 583

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
25/01/2018 22:00       256       256     15.05     30.20      13.6        66     949.4       0.0     328.2
25/01/2018 23:00       267       265     11.39     34.30      12.8        72     949.7       0.0     127.8
26/01/2018 00:00       284       320      9.75     25.60      12.4        72     949.8       0.0      52.7
26/01/2018 01:00       265       244     10.98     24.60      11.2        85     950.2       0.0       4.0
26/01/2018 02:00       257       254     12.47     25.10      10.1        92     950.7       0.0       0.0
26/01/2018 03:00       241       250     11.30     22.10       9.5        92     951.1       0.0       0.0
26/01/2018 04:00       242       239      6.91     20.70       8.8        92     951.6       0.0       0.0
26/01/2018 05:00       236       222      7.79     14.40       8.2        91     952.1       0.0       0.0
26/01/2018 06:00       250       236      4.44     12.10       7.7        91     952.3       0.0       0.0
26/01/2018 07:00       237       236      4.94      8.60       7.4        93     952.7       0.0       0.0
26/01/2018 08:00       114       217      1.56      7.30       7.0        95     952.5       0.0       0.0
26/01/2018 09:00        72        85      2.91      7.50       6.6        96     952.8       0.0       0.0
26/01/2018 10:00        71       122      3.23      7.20       6.2        95     952.8       0.0       0.0
26/01/2018 11:00        24       338      2.78      6.00       6.2        93     952.8       0.0       0.0
26/01/2018 12:00        47        95      2.68      8.80       6.1        89     952.8       0.0       0.0
26/01/2018 13:00         8        38      2.95      6.70       5.6        89     953.1       0.0       0.0
26/01/2018 14:00       100       101      5.67     19.20       5.0        89     953.3       0.0       0.8
26/01/2018 15:00        85       104      5.86     14.90       5.3        83     954.1       0.0      89.7
26/01/2018 16:00        89       104      5.55     13.80       7.6        72     954.3       0.0     292.5
26/01/2018 17:00       131       137      4.76     14.50      10.5        61     954.6       0.0     490.0
26/01/2018 18:00        39       320      2.65     11.10      13.2        51     954.7       0.0     622.5
26/01/2018 19:00       291        37      1.73     14.40      15.4        40     954.0       0.0     691.5
26/01/2018 20:00       144       133      6.79     28.50      16.7        32     952.8       0.0     695.2
26/01/2018 21:00       130       132     13.70     32.10      17.8        18     952.0       0.0     639.8
26/01/2018 22:00       123       120     13.70     31.00      18.0        16     951.9       0.0     514.8
26/01/2018 23:00       120       128     13.73     33.10      17.6        15     951.7       0.0     338.0
27/01/2018 00:00       102       113     11.31     31.20      16.7        15     952.1       0.0     133.8
27/01/2018 01:00        55        80      7.76     27.40      14.9        16     952.4       0.0       5.5
27/01/2018 02:00        58        53      8.80     24.90      13.1        17     952.8       0.0       0.0
27/01/2018 03:00        98        87     10.04     27.50      12.6        16     953.2       0.0       0.0
27/01/2018 04:00        86        91      8.24     23.00      11.8        18     953.5       0.0       0.0
27/01/2018 05:00        54        74      5.78     20.30      11.0        20     953.9       0.0       0.0
27/01/2018 06:00        51        87      5.84     21.70      10.6        20     954.1       0.0       0.0
27/01/2018 07:00        69       103      5.50     14.40       9.5        22     954.1       0.0       0.0
27/01/2018 08:00        80        91      7.04     17.00       9.0        23     954.0       0.0       0.0
27/01/2018 09:00        85        88      7.15     21.70       8.4        24     954.0       0.0       0.0
27/01/2018 10:00        84        46      6.90     18.70       8.1        23     954.0       0.0       0.0
27/01/2018 11:00        65        87      3.59     14.00       7.9        22     953.8       0.0       0.0
27/01/2018 12:00        15        37      4.44     12.30       7.4        21     953.6       0.0       0.0
27/01/2018 13:00        38        84      5.04     17.80       7.6        20     953.8       0.0       0.0
27/01/2018 14:00        34       120      3.76     12.70       7.7        19     954.2       0.0       1.2
27/01/2018 15:00        38        77      4.02     11.50       9.4        17     954.8       0.0     111.5
27/01/2018 16:00        82        98      4.76     12.80      12.4        14     955.1       0.0     283.8
27/01/2018 17:00       103       122      6.00     27.80      16.1        10     954.9       0.0     461.7
27/01/2018 18:00       116        94     16.50     35.70      18.6         7     954.6       0.0     633.5
27/01/2018 19:00       116        92     16.94     42.10      19.0         7     954.1       0.0     682.0
27/01/2018 20:00       115       119     18.63     46.40      19.5         7     953.4       0.0     699.0
27/01/2018 21:00       114        83     19.31     48.30      19.3         7     952.9       0.0     612.3
27/01/2018 22:00       110       121     20.16     49.20      19.4         7     952.6       0.0     495.7
27/01/2018 23:00       103       110     19.20     46.70      19.0         7     952.6       0.0     344.3
28/01/2018 00:00        91       100     16.75     42.70      18.2         6     952.8       0.0     138.3
28/01/2018 01:00        89        93     17.19     41.70      16.5         7     953.1       0.0       7.3
28/01/2018 02:00        96       107     14.75     34.80      15.5         8     953.3       0.0       0.0
28/01/2018 03:00        73        87      5.08     33.70      14.8        10     953.2       0.0       0.0
28/01/2018 04:00        88       100      9.95     33.00      15.0         9     952.9       0.0       0.0
28/01/2018 05:00       113       104     15.90     34.60      15.8         7     953.2       0.0       0.0
28/01/2018 06:00       109       110     15.57     35.70      16.0         7     953.6       0.0       0.0
28/01/2018 07:00       106        96     15.15     33.80      16.0         7     953.6       0.0       0.0
28/01/2018 08:00       112       115     11.27     31.40      16.0         8     953.3       0.0       0.0
28/01/2018 09:00        28        57      5.98     25.40      16.9         8     952.8       0.0       0.0
28/01/2018 10:00        69        96     14.30     43.40      18.5        11     952.5       0.0       0.0
28/01/2018 11:00        74        87      9.82     36.00      18.5        15     952.4       0.0       0.0
28/01/2018 12:00        87        91     10.33     37.80      17.5        17     952.4       0.0       0.0
28/01/2018 13:00       100       100     11.41     40.40      17.4        17     952.6       0.0       0.0
28/01/2018 14:00        60        64     13.56     40.60      18.2        16     953.2       0.0       0.3
28/01/2018 15:00        74        83     13.62     35.60      18.8        16     953.3       0.0     104.7
28/01/2018 16:00        75        79     10.26     35.40      20.0        15     953.9       0.0     310.7
28/01/2018 17:00        65        27     18.28     48.30      21.0        14     954.1       0.0     497.2
28/01/2018 18:00        77        80     17.93     49.90      21.9        12     954.2       0.0     633.8
28/01/2018 19:00        88        85     17.24     47.00      22.5        11     953.9       0.0     706.3
28/01/2018 20:00        88        78     17.78     42.30      23.0        12     953.0       0.0     713.0
28/01/2018 21:00        79        57     17.92     46.50      23.4        12     952.0       0.0     653.0
28/01/2018 22:00        67        91     17.57     47.10      23.3        12     951.9       0.0     526.2
28/01/2018 23:00        51        87     16.71     44.00      22.7        13     951.9       0.0     348.2
29/01/2018 00:00        60        91     15.81     48.30      22.2        14     951.8       0.0     144.2
29/01/2018 01:00        94       100     17.93     47.70      21.0        15     952.1       0.0       7.7
29/01/2018 02:00        80        84     13.90     41.80      20.7        15     952.5       0.0       0.0
29/01/2018 03:00        28         9     13.82     37.10      20.2        16     952.5       0.0       0.0
29/01/2018 04:00       351       339      7.29     32.10      19.8        17     952.4       0.0       0.0
29/01/2018 05:00        32        23      9.43     37.60      20.1        16     952.1       0.0       0.0
29/01/2018 06:00        61        68     12.14     51.00      21.0        14     951.8       0.0       0.0
29/01/2018 07:00        63        68     11.49     39.10      20.9        14     951.8       0.0       0.0
29/01/2018 08:00        51        86     11.82     36.40      20.7        14     951.9       0.0       0.0
29/01/2018 09:00        55        95     13.46     43.30      20.6        14     952.0       0.0       0.0
29/01/2018 10:00        89        92     19.06     54.80      20.3        14     951.5       0.0       0.0
29/01/2018 11:00        68        51     13.37     42.40      20.1        14     951.7       0.0       0.0
29/01/2018 12:00        37        11     16.53     40.10      19.9        14     952.2       0.0       0.0
29/01/2018 13:00        44        40     12.99     37.60      19.4        15     952.5       0.0       0.0
29/01/2018 14:00        59        46     11.84     37.30      19.0        16     952.6       0.0       0.3
29/01/2018 15:00        65        58     14.86     43.70      19.4        15     952.9       0.0     108.0
29/01/2018 16:00        72        85     18.52     58.60      20.6        14     953.1       0.0     326.3
29/01/2018 17:00        67        93     19.36     58.80      21.6        13     953.3       0.0     512.5
29/01/2018 18:00        72        71     17.56     56.80      22.7        12     953.1       0.0     651.2
29/01/2018 19:00        72        85     16.93     54.30      23.6        10     952.4       0.0     726.2
29/01/2018 20:00        62       103     12.65     48.90      24.3        10     951.7       0.0     728.7
29/01/2018 21:00        85       124     12.38     39.90      25.2         9     951.4       0.0     663.3
29/01/2018 22:00       113       118     15.17     36.50      26.2         8     951.5       0.0     540.7
29/01/2018 23:00       108       111     18.10     43.60      25.1         8     951.0       0.0     361.0
30/01/2018 00:00        71        93     11.79     32.50      23.6        10     951.2       0.0     144.3
30/01/2018 01:00        58        90      9.60     32.50      21.4        12     951.4       0.0       3.8
30/01/2018 02:00        95        95      9.32     28.40      20.3        12     952.1       0.0       0.0
30/01/2018 03:00       103        93     12.57     34.30      19.9        13     952.4       0.0       0.0
30/01/2018 04:00        90        95     10.59     30.00      19.7        14     952.6       0.0       0.0
30/01/2018 05:00       100       116     12.57     30.50      19.5        14     952.7       0.0       0.0
30/01/2018 06:00       105        81     12.20     26.90      19.2        15     952.6       0.0       0.0
30/01/2018 07:00        99       104     10.77     25.00      18.6        15     952.4       0.0       0.0
30/01/2018 08:00        83        75     10.01     26.00      18.2        16     951.8       0.0       0.0
30/01/2018 09:00        32        96      5.68     20.50      18.2        15     951.6       0.0       0.0
30/01/2018 10:00         8         1      3.82     10.90      17.2        15     951.3       0.0       0.0
30/01/2018 11:00        33        96      3.83     12.90      17.0        15     951.0       0.0       0.0
30/01/2018 12:00        30        72      6.44     19.00      16.8        16     950.8       0.0       0.0
30/01/2018 13:00        19        64      5.41     17.00      16.5        17     950.8       0.0       0.0
30/01/2018 14:00        28        93      4.93     17.40      16.6        17     951.2       0.0       0.2
30/01/2018 15:00        12        10      4.35     11.80      16.3        18     951.6       0.0      50.3
30/01/2018 16:00        75        93      4.59     13.60      18.0        17     952.0       0.0     194.7
30/01/2018 17:00        99       118      5.61     17.10      20.7        15     952.2       0.0     450.8
30/01/2018 18:00       109       138      5.82     15.00      23.7        12     951.8       0.0     450.7
30/01/2018 19:00       184       119      4.83     15.50      26.3         7     950.8       0.0     672.5
30/01/2018 20:00       261       258      2.46     15.40      27.0         8     949.8       0.0     522.0
30/01/2018 21:00       230       231      5.50     16.60      26.2        11     949.1       0.0     352.3
30/01/2018 22:00       217       214      7.23     14.10      26.4        11     948.6       0.0     374.2
30/01/2018 23:00        57       215      2.87     14.60      26.5         9     948.4       0.0     245.0
31/01/2018 00:00       188        32      2.18     11.60      25.4        10     948.1       0.0     110.3
31/01/2018 01:00       349        14      3.57      5.80      21.9        15     948.1       0.0       3.3
31/01/2018 02:00        72       125      3.24      7.10      20.4        17     948.4       0.0       0.0
31/01/2018 03:00        82        88      4.86     12.90      19.3        20     948.6       0.0       0.0
31/01/2018 04:00        87        84      7.17     17.20      17.7        23     949.0       0.0       0.0
31/01/2018 05:00        43        70      4.11     15.40      16.4        23     949.2       0.0       0.0
31/01/2018 06:00        41        82      4.35     15.60      15.8        23     949.3       0.0       0.0
31/01/2018 07:00        57        86      5.32     17.90      15.1        22     949.1       0.0       0.0
31/01/2018 08:00        59        74      5.13     14.90      14.0        22     949.0       0.0       0.0
31/01/2018 09:00        68        80      5.43     19.70      13.3        22     948.8       0.0       0.0
31/01/2018 10:00        86       105      7.69     20.30      12.4        23     948.9       0.0       0.0
31/01/2018 11:00        62        73      7.05     16.50      11.8        24     948.5       0.0       0.0
31/01/2018 12:00        60        81      6.09     23.30      11.4        24     948.3       0.0       0.0
31/01/2018 13:00        51        70      6.07     16.80      11.2        23     948.4       0.0       0.0
31/01/2018 14:00        73        81      6.93     17.50      11.1        23     949.0       0.0       0.7
31/01/2018 15:00        64        73      6.18     16.00      11.6        23     949.3       0.0     111.2
31/01/2018 16:00        80        86      5.92     16.00      14.5        20     949.4       0.0     323.7
31/01/2018 17:00       101        92      4.46     14.50      19.2        16     949.4       0.0     505.8
31/01/2018 18:00       177       227      3.31     11.20      24.1        12     949.0       0.0     635.2
31/01/2018 19:00       223       211      8.84     15.90      25.2        10     948.3       0.0     708.5
31/01/2018 20:00       233       218      9.83     21.10      25.4        10     947.5       0.0     712.3
31/01/2018 21:00       235       253     10.26     21.50      25.7        11     946.7       0.0     641.8
31/01/2018 22:00       248       238     10.54     22.20      25.8        12     946.2       0.0     510.8
31/01/2018 23:00       230       211     12.01     22.20      24.9        13     946.1       0.0     339.5
